HospitalID,HospitalName,HospitalType,Beds,Governorate,City
H001,Benha Teaching Hospital,Teaching,550,Qalyubia,Benha
H002,Benha General Hospital,General,420,Qalyubia,Benha
H003,Qanater Central Hospital,Central,250,Qalyubia,Qanater
H004,Toukh Central Hospital,Central,220,Qalyubia,Toukh
H005,Shibin El Qanater Central Hospital,Central,210,Qalyubia,Shibin El Qanater
H006,Kafr Shukr Central Hospital,Central,180,Qalyubia,Kafr Shukr
H007,Qalyub Specialized Hospital,Specialized,300,Qalyubia,Qalyub
H008,El Khanka Central Hospital,Central,200,Qalyubia,El Khanka
H009,Qaha Specialized Hospital,Specialized,170,Qalyubia,Qaha
H010,Banha Fever Hospital,Fever,150,Qalyubia,Benha
