"SupplierID,SupplierName,SupplierType,Country,LeadTimeDays,QualityScore,DelayProbability"
"S001,Eva Pharma,Local,Egypt,4,89,0.05"
"S002,EIPICO,Local,Egypt,3,94,0.07"
"S003,Pharco,Local,Egypt,6,91,0.03"
"S004,Amoun,Local,Egypt,3,99,0.04"
"S005,CID,Local,Egypt,6,98,0.07"
"S006,SEDICO,Local,Egypt,4,91,0.03"
"S007,Memphis,Local,Egypt,3,95,0.02"
"S008,Rameda,Local,Egypt,7,93,0.04"
"S009,AstraZeneca Egypt,Imported,UK,22,99,0.1"
"S010,Sanofi Egypt,Imported,France,31,99,0.19"
"S011,Pfizer Egypt,Imported,USA,27,94,0.18"
"S012,Novartis Egypt,Imported,Switzerland,41,94,0.16"
"S013,GlaxoSmithKline,Imported,UK,22,96,0.18"
"S014,Bayer Egypt,Imported,Germany,20,97,0.18"
"S015,Roche Egypt,Imported,Switzerland,22,87,0.1"
"S016,Hikma Pharma,Imported,Jordan,24,99,0.19"
"S017,Jamjoom Pharma,Imported,Saudi Arabia,34,91,0.14"
"S018,Julphar,Imported,UAE,33,85,0.18"
"S019,Abbott Egypt,Imported,USA,22,88,0.19"
"S020,Medical Union Pharmaceuticals,Local,Egypt,3,97,0.04"
