"OrderID,RequisitionID,HospitalID,SupplierID,OrderDate,TotalCost,Status,ExpectedDeliveryDate"
"PO00001,REQ00001,H001,S008,2025-01-01,290541,Open,2025-01-08"
"PO00002,REQ00001,H001,S007,2025-01-01,216724,Open,2025-01-04"
"PO00003,REQ00001,H001,S006,2025-01-01,224880,Open,2025-01-05"
"PO00004,REQ00001,H001,S001,2025-01-01,440336,Open,2025-01-05"
"PO00005,REQ00001,H001,S002,2025-01-01,131692,Open,2025-01-04"
"PO00006,REQ00001,H001,S016,2025-01-01,2766482,Open,2025-01-25"
"PO00007,REQ00001,H001,S012,2025-01-01,3519499,Open,2025-02-11"
"PO00008,REQ00001,H001,S018,2025-01-01,652487,Open,2025-02-03"
"PO00009,REQ00001,H001,S019,2025-01-01,3266678,Open,2025-01-23"
"PO00010,REQ00001,H001,S010,2025-01-01,2688048,Open,2025-02-01"
"PO00011,REQ00001,H001,S015,2025-01-01,1864706,Open,2025-01-23"
"PO00012,REQ00001,H001,S017,2025-01-01,894061,Open,2025-02-04"
"PO00013,REQ00001,H001,S009,2025-01-01,3791129,Open,2025-01-23"
"PO00014,REQ00001,H001,S011,2025-01-01,1682656,Open,2025-01-28"
"PO00015,REQ00001,H001,S013,2025-01-01,2923408,Open,2025-01-23"
"PO00016,REQ00001,H001,S014,2025-01-01,777659,Open,2025-01-21"
"PO00017,REQ00001,H001,S005,2025-01-01,176228,Open,2025-01-07"
"PO00018,REQ00001,H001,S003,2025-01-01,453426,Open,2025-01-07"
"PO00019,REQ00001,H001,S020,2025-01-01,87633,Open,2025-01-04"
"PO00020,REQ00001,H001,S004,2025-01-01,185361,Open,2025-01-04"
"PO00021,REQ00002,H002,S008,2025-01-01,29885,Open,2025-01-08"
"PO00022,REQ00002,H002,S005,2025-01-01,107817,Open,2025-01-07"
"PO00023,REQ00002,H002,S004,2025-01-01,451923,Open,2025-01-04"
"PO00024,REQ00002,H002,S020,2025-01-01,263551,Open,2025-01-04"
"PO00025,REQ00002,H002,S003,2025-01-01,402829,Open,2025-01-07"
"PO00026,REQ00002,H002,S006,2025-01-01,159499,Open,2025-01-05"
"PO00027,REQ00002,H002,S011,2025-01-01,2305112,Open,2025-01-28"
"PO00028,REQ00002,H002,S015,2025-01-01,6186470,Open,2025-01-23"
"PO00029,REQ00002,H002,S016,2025-01-01,847639,Open,2025-01-25"
"PO00030,REQ00002,H002,S010,2025-01-01,1785618,Open,2025-02-01"
"PO00031,REQ00002,H002,S017,2025-01-01,2102281,Open,2025-02-04"
"PO00032,REQ00002,H002,S018,2025-01-01,2494174,Open,2025-02-03"
"PO00033,REQ00002,H002,S009,2025-01-01,2093326,Open,2025-01-23"
"PO00034,REQ00002,H002,S013,2025-01-01,5173390,Open,2025-01-23"
"PO00035,REQ00002,H002,S019,2025-01-01,3531998,Open,2025-01-23"
"PO00036,REQ00002,H002,S014,2025-01-01,1236601,Open,2025-01-21"
"PO00037,REQ00002,H002,S012,2025-01-01,78720,Open,2025-02-11"
"PO00038,REQ00002,H002,S007,2025-01-01,112102,Open,2025-01-04"
"PO00039,REQ00002,H002,S001,2025-01-01,459882,Open,2025-01-05"
"PO00040,REQ00002,H002,S002,2025-01-01,139440,Open,2025-01-04"
"PO00041,REQ00003,H003,S001,2025-01-01,400487,Open,2025-01-05"
"PO00042,REQ00003,H003,S007,2025-01-01,134697,Open,2025-01-04"
"PO00043,REQ00003,H003,S008,2025-01-01,136172,Open,2025-01-08"
"PO00044,REQ00003,H003,S004,2025-01-01,122496,Open,2025-01-04"
"PO00045,REQ00003,H003,S003,2025-01-01,199670,Open,2025-01-07"
"PO00046,REQ00003,H003,S002,2025-01-01,438137,Open,2025-01-04"
"PO00047,REQ00003,H003,S020,2025-01-01,167918,Open,2025-01-04"
"PO00048,REQ00003,H003,S015,2025-01-01,2859745,Open,2025-01-23"
"PO00049,REQ00003,H003,S016,2025-01-01,1878973,Open,2025-01-25"
"PO00050,REQ00003,H003,S018,2025-01-01,1520691,Open,2025-02-03"
"PO00051,REQ00003,H003,S012,2025-01-01,2693355,Open,2025-02-11"
"PO00052,REQ00003,H003,S017,2025-01-01,3078120,Open,2025-02-04"
"PO00053,REQ00003,H003,S013,2025-01-01,2288139,Open,2025-01-23"
"PO00054,REQ00003,H003,S019,2025-01-01,3115862,Open,2025-01-23"
"PO00055,REQ00003,H003,S009,2025-01-01,1722666,Open,2025-01-23"
"PO00056,REQ00003,H003,S014,2025-01-01,1196925,Open,2025-01-21"
"PO00057,REQ00003,H003,S011,2025-01-01,2898634,Open,2025-01-28"
"PO00058,REQ00003,H003,S010,2025-01-01,4200099,Open,2025-02-01"
"PO00059,REQ00003,H003,S006,2025-01-01,176870,Open,2025-01-05"
"PO00060,REQ00003,H003,S005,2025-01-01,265035,Open,2025-01-07"
"PO00061,REQ00004,H004,S007,2025-01-01,181184,Open,2025-01-04"
"PO00062,REQ00004,H004,S005,2025-01-01,496357,Open,2025-01-07"
"PO00063,REQ00004,H004,S001,2025-01-01,306288,Open,2025-01-05"
"PO00064,REQ00004,H004,S003,2025-01-01,465440,Open,2025-01-07"
"PO00065,REQ00004,H004,S002,2025-01-01,246624,Open,2025-01-04"
"PO00066,REQ00004,H004,S015,2025-01-01,2478765,Open,2025-01-23"
"PO00067,REQ00004,H004,S012,2025-01-01,2419793,Open,2025-02-11"
"PO00068,REQ00004,H004,S019,2025-01-01,3071994,Open,2025-01-23"
"PO00069,REQ00004,H004,S010,2025-01-01,2547564,Open,2025-02-01"
"PO00070,REQ00004,H004,S014,2025-01-01,1273018,Open,2025-01-21"
"PO00071,REQ00004,H004,S016,2025-01-01,4928504,Open,2025-01-25"
"PO00072,REQ00004,H004,S011,2025-01-01,2741999,Open,2025-01-28"
"PO00073,REQ00004,H004,S013,2025-01-01,1816114,Open,2025-01-23"
"PO00074,REQ00004,H004,S017,2025-01-01,945374,Open,2025-02-04"
"PO00075,REQ00004,H004,S009,2025-01-01,2207283,Open,2025-01-23"
"PO00076,REQ00004,H004,S018,2025-01-01,1287197,Open,2025-02-03"
"PO00077,REQ00004,H004,S020,2025-01-01,63875,Open,2025-01-04"
"PO00078,REQ00004,H004,S004,2025-01-01,110732,Open,2025-01-04"
"PO00079,REQ00004,H004,S008,2025-01-01,98091,Open,2025-01-08"
"PO00080,REQ00005,H005,S005,2025-01-01,73028,Open,2025-01-07"
"PO00081,REQ00005,H005,S006,2025-01-01,90815,Open,2025-01-05"
"PO00082,REQ00005,H005,S004,2025-01-01,447032,Open,2025-01-04"
"PO00083,REQ00005,H005,S003,2025-01-01,148082,Open,2025-01-07"
"PO00084,REQ00005,H005,S001,2025-01-01,288504,Open,2025-01-05"
"PO00085,REQ00005,H005,S008,2025-01-01,253605,Open,2025-01-08"
"PO00086,REQ00005,H005,S002,2025-01-01,353692,Open,2025-01-04"
"PO00087,REQ00005,H005,S010,2025-01-01,1917883,Open,2025-02-01"
"PO00088,REQ00005,H005,S012,2025-01-01,1715187,Open,2025-02-11"
"PO00089,REQ00005,H005,S017,2025-01-01,4564374,Open,2025-02-04"
"PO00090,REQ00005,H005,S018,2025-01-01,4866095,Open,2025-02-03"
"PO00091,REQ00005,H005,S014,2025-01-01,3771772,Open,2025-01-21"
"PO00092,REQ00005,H005,S013,2025-01-01,2396876,Open,2025-01-23"
"PO00093,REQ00005,H005,S009,2025-01-01,4393566,Open,2025-01-23"
"PO00094,REQ00005,H005,S011,2025-01-01,603015,Open,2025-01-28"
"PO00095,REQ00005,H005,S019,2025-01-01,2469364,Open,2025-01-23"
"PO00096,REQ00005,H005,S016,2025-01-01,619783,Open,2025-01-25"
"PO00097,REQ00005,H005,S015,2025-01-01,519435,Open,2025-01-23"
"PO00098,REQ00005,H005,S007,2025-01-01,278703,Open,2025-01-04"
"PO00099,REQ00005,H005,S020,2025-01-01,81972,Open,2025-01-04"
"PO00100,REQ00006,H006,S003,2025-01-01,198303,Open,2025-01-07"
"PO00101,REQ00006,H006,S004,2025-01-01,220231,Open,2025-01-04"
"PO00102,REQ00006,H006,S005,2025-01-01,341200,Open,2025-01-07"
"PO00103,REQ00006,H006,S007,2025-01-01,229641,Open,2025-01-04"
"PO00104,REQ00006,H006,S001,2025-01-01,423714,Open,2025-01-05"
"PO00105,REQ00006,H006,S006,2025-01-01,325244,Open,2025-01-05"
"PO00106,REQ00006,H006,S017,2025-01-01,920645,Open,2025-02-04"
"PO00107,REQ00006,H006,S011,2025-01-01,2694938,Open,2025-01-28"
"PO00108,REQ00006,H006,S010,2025-01-01,1208160,Open,2025-02-01"
"PO00109,REQ00006,H006,S016,2025-01-01,4675386,Open,2025-01-25"
"PO00110,REQ00006,H006,S018,2025-01-01,2009954,Open,2025-02-03"
"PO00111,REQ00006,H006,S009,2025-01-01,2136453,Open,2025-01-23"
"PO00112,REQ00006,H006,S012,2025-01-01,2214087,Open,2025-02-11"
"PO00113,REQ00006,H006,S019,2025-01-01,2423436,Open,2025-01-23"
"PO00114,REQ00006,H006,S013,2025-01-01,3988585,Open,2025-01-23"
"PO00115,REQ00006,H006,S014,2025-01-01,2820010,Open,2025-01-21"
"PO00116,REQ00006,H006,S015,2025-01-01,732070,Open,2025-01-23"
"PO00117,REQ00006,H006,S020,2025-01-01,118984,Open,2025-01-04"
"PO00118,REQ00006,H006,S002,2025-01-01,277821,Open,2025-01-04"
"PO00119,REQ00006,H006,S008,2025-01-01,38259,Open,2025-01-08"
"PO00120,REQ00007,H007,S003,2025-01-01,89603,Open,2025-01-07"
"PO00121,REQ00007,H007,S006,2025-01-01,188659,Open,2025-01-05"
"PO00122,REQ00007,H007,S020,2025-01-01,727427,Open,2025-01-04"
"PO00123,REQ00007,H007,S007,2025-01-01,471336,Open,2025-01-04"
"PO00124,REQ00007,H007,S004,2025-01-01,149966,Open,2025-01-04"
"PO00125,REQ00007,H007,S001,2025-01-01,212158,Open,2025-01-05"
"PO00126,REQ00007,H007,S010,2025-01-01,1107688,Open,2025-02-01"
"PO00127,REQ00007,H007,S015,2025-01-01,2570294,Open,2025-01-23"
"PO00128,REQ00007,H007,S019,2025-01-01,2145868,Open,2025-01-23"
"PO00129,REQ00007,H007,S012,2025-01-01,372171,Open,2025-02-11"
"PO00130,REQ00007,H007,S018,2025-01-01,3813751,Open,2025-02-03"
"PO00131,REQ00007,H007,S016,2025-01-01,644131,Open,2025-01-25"
"PO00132,REQ00007,H007,S017,2025-01-01,3989275,Open,2025-02-04"
"PO00133,REQ00007,H007,S009,2025-01-01,2385337,Open,2025-01-23"
"PO00134,REQ00007,H007,S011,2025-01-01,4405904,Open,2025-01-28"
"PO00135,REQ00007,H007,S014,2025-01-01,2701718,Open,2025-01-21"
"PO00136,REQ00007,H007,S013,2025-01-01,1690993,Open,2025-01-23"
"PO00137,REQ00007,H007,S008,2025-01-01,148208,Open,2025-01-08"
"PO00138,REQ00007,H007,S005,2025-01-01,53371,Open,2025-01-07"
"PO00139,REQ00008,H008,S006,2025-01-01,115317,Open,2025-01-05"
"PO00140,REQ00008,H008,S008,2025-01-01,110907,Open,2025-01-08"
"PO00141,REQ00008,H008,S020,2025-01-01,151667,Open,2025-01-04"
"PO00142,REQ00008,H008,S004,2025-01-01,102459,Open,2025-01-04"
"PO00143,REQ00008,H008,S001,2025-01-01,483554,Open,2025-01-05"
"PO00144,REQ00008,H008,S007,2025-01-01,249633,Open,2025-01-04"
"PO00145,REQ00008,H008,S005,2025-01-01,134306,Open,2025-01-07"
"PO00146,REQ00008,H008,S010,2025-01-01,2135843,Open,2025-02-01"
"PO00147,REQ00008,H008,S015,2025-01-01,3852466,Open,2025-01-23"
"PO00148,REQ00008,H008,S017,2025-01-01,3969606,Open,2025-02-04"
"PO00149,REQ00008,H008,S012,2025-01-01,1541099,Open,2025-02-11"
"PO00150,REQ00008,H008,S009,2025-01-01,2319710,Open,2025-01-23"
"PO00151,REQ00008,H008,S018,2025-01-01,2792211,Open,2025-02-03"
"PO00152,REQ00008,H008,S011,2025-01-01,2016253,Open,2025-01-28"
"PO00153,REQ00008,H008,S016,2025-01-01,5621831,Open,2025-01-25"
"PO00154,REQ00008,H008,S013,2025-01-01,2226767,Open,2025-01-23"
"PO00155,REQ00008,H008,S014,2025-01-01,677658,Open,2025-01-21"
"PO00156,REQ00008,H008,S002,2025-01-01,388436,Open,2025-01-04"
"PO00157,REQ00008,H008,S003,2025-01-01,328419,Open,2025-01-07"
"PO00158,REQ00008,H008,S019,2025-01-01,283671,Open,2025-01-23"
"PO00159,REQ00009,H009,S008,2025-01-01,413709,Open,2025-01-08"
"PO00160,REQ00009,H009,S020,2025-01-01,323744,Open,2025-01-04"
"PO00161,REQ00009,H009,S002,2025-01-01,268920,Open,2025-01-04"
"PO00162,REQ00009,H009,S001,2025-01-01,267934,Open,2025-01-05"
"PO00163,REQ00009,H009,S004,2025-01-01,352370,Open,2025-01-04"
"PO00164,REQ00009,H009,S006,2025-01-01,192098,Open,2025-01-05"
"PO00165,REQ00009,H009,S003,2025-01-01,31540,Open,2025-01-07"
"PO00166,REQ00009,H009,S012,2025-01-01,4688918,Open,2025-02-11"
"PO00167,REQ00009,H009,S019,2025-01-01,1608586,Open,2025-01-23"
"PO00168,REQ00009,H009,S010,2025-01-01,1634183,Open,2025-02-01"
"PO00169,REQ00009,H009,S014,2025-01-01,2403138,Open,2025-01-21"
"PO00170,REQ00009,H009,S011,2025-01-01,3380257,Open,2025-01-28"
"PO00171,REQ00009,H009,S013,2025-01-01,3669561,Open,2025-01-23"
"PO00172,REQ00009,H009,S018,2025-01-01,4721092,Open,2025-02-03"
"PO00173,REQ00009,H009,S017,2025-01-01,1194234,Open,2025-02-04"
"PO00174,REQ00009,H009,S016,2025-01-01,588912,Open,2025-01-25"
"PO00175,REQ00009,H009,S009,2025-01-01,1529846,Open,2025-01-23"
"PO00176,REQ00009,H009,S015,2025-01-01,561186,Open,2025-01-23"
"PO00177,REQ00009,H009,S005,2025-01-01,56137,Open,2025-01-07"
"PO00178,REQ00009,H009,S007,2025-01-01,31117,Open,2025-01-04"
"PO00179,REQ00010,H010,S002,2025-01-01,323259,Open,2025-01-04"
"PO00180,REQ00010,H010,S005,2025-01-01,543964,Open,2025-01-07"
"PO00181,REQ00010,H010,S001,2025-01-01,25270,Open,2025-01-05"
"PO00182,REQ00010,H010,S008,2025-01-01,307742,Open,2025-01-08"
"PO00183,REQ00010,H010,S003,2025-01-01,405532,Open,2025-01-07"
"PO00184,REQ00010,H010,S006,2025-01-01,235368,Open,2025-01-05"
"PO00185,REQ00010,H010,S016,2025-01-01,812175,Open,2025-01-25"
"PO00186,REQ00010,H010,S010,2025-01-01,2465353,Open,2025-02-01"
"PO00187,REQ00010,H010,S019,2025-01-01,2969484,Open,2025-01-23"
"PO00188,REQ00010,H010,S014,2025-01-01,2361187,Open,2025-01-21"
"PO00189,REQ00010,H010,S009,2025-01-01,3214040,Open,2025-01-23"
"PO00190,REQ00010,H010,S015,2025-01-01,3204946,Open,2025-01-23"
"PO00191,REQ00010,H010,S013,2025-01-01,4142602,Open,2025-01-23"
"PO00192,REQ00010,H010,S011,2025-01-01,782868,Open,2025-01-28"
"PO00193,REQ00010,H010,S017,2025-01-01,1836226,Open,2025-02-04"
"PO00194,REQ00010,H010,S012,2025-01-01,2617435,Open,2025-02-11"
"PO00195,REQ00010,H010,S018,2025-01-01,572265,Open,2025-02-03"
"PO00196,REQ00010,H010,S004,2025-01-01,197392,Open,2025-01-04"
"PO00197,REQ00010,H010,S020,2025-01-01,107406,Open,2025-01-04"
"PO00198,REQ00010,H010,S007,2025-01-01,59986,Open,2025-01-04"
"PO00199,REQ00011,H001,S005,2025-04-01,468113,Open,2025-04-07"
"PO00200,REQ00011,H001,S020,2025-04-01,186201,Open,2025-04-04"
"PO00201,REQ00011,H001,S007,2025-04-01,606298,Open,2025-04-04"
"PO00202,REQ00011,H001,S008,2025-04-01,514733,Open,2025-04-08"
"PO00203,REQ00011,H001,S004,2025-04-01,321015,Open,2025-04-04"
"PO00204,REQ00011,H001,S011,2025-04-01,2676773,Open,2025-04-28"
"PO00205,REQ00011,H001,S019,2025-04-01,2373284,Open,2025-04-23"
"PO00206,REQ00011,H001,S015,2025-04-01,2578660,Open,2025-04-23"
"PO00207,REQ00011,H001,S013,2025-04-01,2532824,Open,2025-04-23"
"PO00208,REQ00011,H001,S012,2025-04-01,2238927,Open,2025-05-12"
"PO00209,REQ00011,H001,S016,2025-04-01,3555044,Open,2025-04-25"
"PO00210,REQ00011,H001,S010,2025-04-01,1355242,Open,2025-05-02"
"PO00211,REQ00011,H001,S018,2025-04-01,1043859,Open,2025-05-04"
"PO00212,REQ00011,H001,S017,2025-04-01,1595487,Open,2025-05-05"
"PO00213,REQ00011,H001,S009,2025-04-01,585206,Open,2025-04-23"
"PO00214,REQ00011,H001,S014,2025-04-01,1232563,Open,2025-04-21"
"PO00215,REQ00011,H001,S001,2025-04-01,467205,Open,2025-04-05"
"PO00216,REQ00011,H001,S003,2025-04-01,305682,Open,2025-04-07"
"PO00217,REQ00011,H001,S006,2025-04-01,324580,Open,2025-04-05"
"PO00218,REQ00012,H002,S003,2025-04-01,175994,Open,2025-04-07"
"PO00219,REQ00012,H002,S008,2025-04-01,404352,Open,2025-04-08"
"PO00220,REQ00012,H002,S005,2025-04-01,831690,Open,2025-04-07"
"PO00221,REQ00012,H002,S002,2025-04-01,208947,Open,2025-04-04"
"PO00222,REQ00012,H002,S001,2025-04-01,424465,Open,2025-04-05"
"PO00223,REQ00012,H002,S016,2025-04-01,1669560,Open,2025-04-25"
"PO00224,REQ00012,H002,S011,2025-04-01,3031497,Open,2025-04-28"
"PO00225,REQ00012,H002,S013,2025-04-01,1791592,Open,2025-04-23"
"PO00226,REQ00012,H002,S017,2025-04-01,1313921,Open,2025-05-05"
"PO00227,REQ00012,H002,S009,2025-04-01,2957098,Open,2025-04-23"
"PO00228,REQ00012,H002,S018,2025-04-01,3859484,Open,2025-05-04"
"PO00229,REQ00012,H002,S010,2025-04-01,1619443,Open,2025-05-02"
"PO00230,REQ00012,H002,S014,2025-04-01,2034716,Open,2025-04-21"
"PO00231,REQ00012,H002,S019,2025-04-01,1159680,Open,2025-04-23"
"PO00232,REQ00012,H002,S015,2025-04-01,1259802,Open,2025-04-23"
"PO00233,REQ00012,H002,S012,2025-04-01,1215785,Open,2025-05-12"
"PO00234,REQ00012,H002,S004,2025-04-01,441130,Open,2025-04-04"
"PO00235,REQ00012,H002,S020,2025-04-01,113207,Open,2025-04-04"
"PO00236,REQ00012,H002,S006,2025-04-01,506356,Open,2025-04-05"
"PO00237,REQ00012,H002,S007,2025-04-01,78765,Open,2025-04-04"
"PO00238,REQ00013,H003,S020,2025-04-01,170708,Open,2025-04-04"
"PO00239,REQ00013,H003,S002,2025-04-01,398637,Open,2025-04-04"
"PO00240,REQ00013,H003,S001,2025-04-01,433605,Open,2025-04-05"
"PO00241,REQ00013,H003,S008,2025-04-01,848589,Open,2025-04-08"
"PO00242,REQ00013,H003,S004,2025-04-01,449724,Open,2025-04-04"
"PO00243,REQ00013,H003,S003,2025-04-01,112890,Open,2025-04-07"
"PO00244,REQ00013,H003,S011,2025-04-01,4348580,Open,2025-04-28"
"PO00245,REQ00013,H003,S009,2025-04-01,2710734,Open,2025-04-23"
"PO00246,REQ00013,H003,S019,2025-04-01,1160558,Open,2025-04-23"
"PO00247,REQ00013,H003,S016,2025-04-01,1611704,Open,2025-04-25"
"PO00248,REQ00013,H003,S014,2025-04-01,3090202,Open,2025-04-21"
"PO00249,REQ00013,H003,S015,2025-04-01,2533429,Open,2025-04-23"
"PO00250,REQ00013,H003,S017,2025-04-01,2492841,Open,2025-05-05"
