TransactionID,Date,HospitalID,ProductID,TransactionType,Quantity,BalanceAfterTransaction
TRN000001,2025-01-01,H001,MED001,Consumption,-28,3228
TRN000002,2025-01-01,H001,MED002,Consumption,-32,3230
TRN000003,2025-01-01,H001,MED003,Consumption,-31,1818
TRN000004,2025-01-01,H001,MED004,Consumption,-33,1768
TRN000005,2025-01-01,H001,MED005,Consumption,-31,1830
TRN000006,2025-01-01,H001,MED006,Consumption,-21,2139
TRN000007,2025-01-01,H001,MED007,Consumption,-28,3353
TRN000008,2025-01-01,H001,MED008,Consumption,-15,2307
TRN000009,2025-01-01,H001,MED009,Consumption,-21,2857
TRN000010,2025-01-01,H001,MED010,Consumption,-35,2623
TRN000011,2025-01-01,H001,MED011,Consumption,-26,2993
TRN000012,2025-01-01,H001,MED012,Consumption,-30,3423
TRN000013,2025-01-01,H001,MED013,Consumption,-31,2553
TRN000014,2025-01-01,H001,MED014,Consumption,-23,3472
TRN000015,2025-01-01,H001,MED015,Consumption,-23,1675
TRN000016,2025-01-01,H001,MED016,Consumption,-27,2442
TRN000017,2025-01-01,H001,MED017,Consumption,-28,2989
TRN000018,2025-01-01,H001,MED018,Consumption,-15,1712
TRN000019,2025-01-01,H001,MED019,Consumption,-26,3089
TRN000020,2025-01-01,H001,MED020,Consumption,-33,2629
TRN000021,2025-01-01,H001,MED021,Consumption,-2,433
TRN000022,2025-01-01,H001,MED022,Consumption,-3,506
TRN000023,2025-01-01,H001,MED023,Consumption,-1,505
TRN000024,2025-01-01,H001,MED024,Consumption,-32,2877
TRN000025,2025-01-01,H001,MED025,Consumption,-3,509
TRN000026,2025-01-01,H001,MED026,Consumption,-6,890
TRN000027,2025-01-01,H001,MED027,Consumption,-10,1558
TRN000028,2025-01-01,H001,MED028,Consumption,-14,1485
TRN000029,2025-01-01,H001,MED029,Consumption,-14,1654
TRN000030,2025-01-01,H001,MED030,Consumption,-14,1229
TRN000031,2025-01-01,H001,MED031,Consumption,-10,1152
TRN000032,2025-01-01,H001,MED032,Consumption,-13,1107
TRN000033,2025-01-01,H001,MED033,Consumption,-9,875
TRN000034,2025-01-01,H001,MED034,Consumption,-15,962
TRN000035,2025-01-01,H001,MED035,Consumption,-14,1590
TRN000036,2025-01-01,H001,MED036,Consumption,-12,1473
TRN000037,2025-01-01,H001,MED037,Consumption,-8,1135
TRN000038,2025-01-01,H001,MED038,Consumption,-13,1375
TRN000039,2025-01-01,H001,MED039,Consumption,-5,1609
TRN000040,2025-01-01,H001,MED040,Consumption,-14,1162
TRN000041,2025-01-01,H001,MED041,Consumption,-6,1511
TRN000042,2025-01-01,H001,MED042,Consumption,-10,1068
TRN000043,2025-01-01,H001,MED043,Consumption,-15,1163
TRN000044,2025-01-01,H001,MED044,Consumption,-8,1610
TRN000045,2025-01-01,H001,MED045,Consumption,-10,1607
TRN000046,2025-01-01,H001,MED046,Consumption,-14,1533
TRN000047,2025-01-01,H001,MED047,Consumption,-15,1138
TRN000048,2025-01-01,H001,MED048,Consumption,-10,1191
TRN000049,2025-01-01,H001,MED049,Consumption,-6,1408
TRN000050,2025-01-01,H001,MED050,Consumption,-7,1146
TRN000051,2025-01-01,H001,MED051,Consumption,-5,1357
TRN000052,2025-01-01,H001,MED052,Consumption,-12,984
TRN000053,2025-01-01,H001,MED053,Consumption,-11,1541
TRN000054,2025-01-01,H001,MED054,Consumption,-6,945
TRN000055,2025-01-01,H001,MED055,Consumption,-11,1135
TRN000056,2025-01-01,H001,MED056,Consumption,-12,1141
TRN000057,2025-01-01,H001,MED057,Consumption,-13,899
TRN000058,2025-01-01,H001,MED058,Consumption,-9,1412
