"LineID,OrderID,ProductID,OrderedQty,UnitPrice,LineTotal,Status"
"LINE000001,PO00001,MED001,963,43,41409,Delivered"
"LINE000002,PO00001,MED004,905,35,31675,Delivered"
"LINE000003,PO00001,MED065,676,37,25012,Delivered"
"LINE000004,PO00001,MED082,1410,65,91650,Delivered"
"LINE000005,PO00001,MED088,1061,95,100795,Delivered"
"LINE000006,PO00002,MED002,603,29,17487,Delivered"
"LINE000007,PO00002,MED009,1081,38,41078,Delivered"
"LINE000008,PO00002,MED066,1451,109,158159,Delivered"
"LINE000009,PO00003,MED003,997,22,21934,Delivered"
"LINE000010,PO00003,MED005,1192,33,39336,Delivered"
"LINE000011,PO00003,MED010,1510,38,57380,Delivered"
"LINE000012,PO00003,MED085,1288,69,88872,Delivered"
"LINE000013,PO00003,MED089,526,33,17358,Delivered"
"LINE000014,PO00004,MED006,1012,37,37444,Delivered"
"LINE000015,PO00004,MED007,1483,25,37075,Delivered"
"LINE000016,PO00004,MED061,1513,23,34799,Delivered"
"LINE000017,PO00004,MED062,728,73,53144,Delivered"
"LINE000018,PO00004,MED069,1286,93,119598,Delivered"
"LINE000019,PO00004,MED070,1086,81,87966,Delivered"
"LINE000020,PO00004,MED086,790,89,70310,Delivered"
"LINE000021,PO00005,MED008,828,25,20700,Delivered"
"LINE000022,PO00005,MED090,991,112,110992,Delivered"
"LINE000023,PO00006,MED011,1212,210,254520,Delivered"
"LINE000024,PO00006,MED020,934,356,332504,Delivered"
"LINE000025,PO00006,MED033,556,239,132884,Delivered"
"LINE000026,PO00006,MED038,719,273,196287,Delivered"
"LINE000027,PO00006,MED039,1396,349,487204,Delivered"
"LINE000028,PO00006,MED047,899,118,106082,Delivered"
"LINE000029,PO00006,MED073,1162,505,586810,Delivered"
"LINE000030,PO00006,MED078,1415,102,144330,Delivered"
"LINE000031,PO00006,MED096,1071,491,525861,Delivered"
"LINE000032,PO00007,MED012,1361,229,311669,Delivered"
"LINE000033,PO00007,MED025,1266,315,398790,Delivered"
"LINE000034,PO00007,MED029,905,560,506800,Delivered"
"LINE000035,PO00007,MED032,1352,749,1012648,Delivered"
"LINE000036,PO00007,MED035,1474,612,902088,Delivered"
"LINE000037,PO00007,MED043,600,50,30000,Delivered"
"LINE000038,PO00007,MED051,1176,304,357504,Delivered"
"LINE000039,PO00008,MED013,551,388,213788,Delivered"
"LINE000040,PO00008,MED050,1325,271,359075,Delivered"
"LINE000041,PO00008,MED055,1076,74,79624,Delivered"
"LINE000042,PO00009,MED014,910,337,306670,Delivered"
"LINE000043,PO00009,MED021,703,240,168720,Delivered"
"LINE000044,PO00009,MED022,754,393,296322,Delivered"
"LINE000045,PO00009,MED028,576,108,62208,Delivered"
"LINE000046,PO00009,MED031,550,525,288750,Delivered"
"LINE000047,PO00009,MED045,849,196,166404,Delivered"
"LINE000048,PO00009,MED049,1154,43,49622,Delivered"
"LINE000049,PO00009,MED056,896,245,219520,Delivered"
"LINE000050,PO00009,MED058,755,89,67195,Delivered"
"LINE000051,PO00009,MED059,697,41,28577,Delivered"
"LINE000052,PO00009,MED072,664,320,212480,Delivered"
"LINE000053,PO00009,MED077,616,387,238392,Delivered"
"LINE000054,PO00009,MED097,1190,518,616420,Delivered"
"LINE000055,PO00009,MED099,1141,478,545398,Delivered"
"LINE000056,PO00010,MED015,764,423,323172,Delivered"
"LINE000057,PO00010,MED040,1077,160,172320,Delivered"
"LINE000058,PO00010,MED048,868,345,299460,Delivered"
"LINE000059,PO00010,MED054,1204,303,364812,Delivered"
"LINE000060,PO00010,MED094,754,1362,1026948,Delivered"
"LINE000061,PO00010,MED095,633,792,501336,Delivered"
"LINE000062,PO00011,MED016,1424,493,702032,Delivered"
"LINE000063,PO00011,MED053,1317,131,172527,Delivered"
"LINE000064,PO00011,MED075,1423,301,428323,Delivered"
"LINE000065,PO00011,MED098,1448,388,561824,Delivered"
"LINE000066,PO00012,MED017,982,373,366286,Delivered"
"LINE000067,PO00012,MED046,861,303,260883,Delivered"
"LINE000068,PO00012,MED052,1341,92,123372,Delivered"
"LINE000069,PO00012,MED057,1196,120,143520,Delivered"
"LINE000070,PO00013,MED018,720,465,334800,Delivered"
"LINE000071,PO00013,MED019,915,271,247965,Delivered"
"LINE000072,PO00013,MED026,662,610,403820,Delivered"
"LINE000073,PO00013,MED034,1198,736,881728,Delivered"
"LINE000074,PO00013,MED036,1154,393,453522,Delivered"
"LINE000075,PO00013,MED071,755,319,240845,Delivered"
"LINE000076,PO00013,MED076,1469,345,506805,Delivered"
"LINE000077,PO00013,MED092,852,847,721644,Delivered"
"LINE000078,PO00014,MED023,1220,101,123220,Delivered"
"LINE000079,PO00014,MED027,853,524,446972,Delivered"
"LINE000080,PO00014,MED037,1010,84,84840,Delivered"
"LINE000081,PO00014,MED041,912,336,306432,Delivered"
"LINE000082,PO00014,MED044,1081,358,386998,Delivered"
"LINE000083,PO00014,MED074,654,511,334194,Delivered"
"LINE000084,PO00015,MED024,584,332,193888,Delivered"
"LINE000085,PO00015,MED030,892,731,652052,Delivered"
"LINE000086,PO00015,MED091,601,1352,812552,Delivered"
"LINE000087,PO00015,MED093,601,1286,772886,Delivered"
"LINE000088,PO00015,MED100,1491,330,492030,Delivered"
"LINE000089,PO00016,MED042,1050,164,172200,Delivered"
"LINE000090,PO00016,MED060,786,93,73098,Delivered"
"LINE000091,PO00016,MED079,664,266,176624,Delivered"
"LINE000092,PO00016,MED080,1501,237,355737,Delivered"
"LINE000093,PO00017,MED063,875,112,98000,Delivered"
"LINE000094,PO00017,MED068,1476,53,78228,Delivered"
"LINE000095,PO00018,MED064,1470,82,120540,Delivered"
"LINE000096,PO00018,MED081,789,148,116772,Delivered"
"LINE000097,PO00018,MED083,1194,181,216114,Delivered"
"LINE000098,PO00019,MED067,1391,63,87633,Delivered"
"LINE000099,PO00020,MED084,737,39,28743,Delivered"
"LINE000100,PO00020,MED087,1386,113,156618,Delivered"
"LINE000101,PO00021,MED001,695,43,29885,Delivered"
"LINE000102,PO00022,MED002,1064,29,30856,Delivered"
"LINE000103,PO00022,MED007,1322,25,33050,Delivered"
"LINE000104,PO00022,MED067,697,63,43911,Delivered"
"LINE000105,PO00023,MED003,927,22,20394,Delivered"
"LINE000106,PO00023,MED005,854,33,28182,Delivered"
"LINE000107,PO00023,MED008,572,25,14300,Delivered"
"LINE000108,PO00023,MED064,1429,82,117178,Delivered"
"LINE000109,PO00023,MED066,1316,109,143444,Delivered"
"LINE000110,PO00023,MED081,715,148,105820,Delivered"
"LINE000111,PO00023,MED089,685,33,22605,Delivered"
"LINE000112,PO00024,MED004,1350,35,47250,Delivered"
"LINE000113,PO00024,MED009,713,38,27094,Delivered"
"LINE000114,PO00024,MED070,1397,81,113157,Delivered"
"LINE000115,PO00024,MED082,1170,65,76050,Delivered"
"LINE000116,PO00025,MED006,1176,37,43512,Delivered"
"LINE000117,PO00025,MED065,1175,37,43475,Delivered"
"LINE000118,PO00025,MED068,1179,53,62487,Delivered"
"LINE000119,PO00025,MED069,1328,93,123504,Delivered"
"LINE000120,PO00025,MED086,1459,89,129851,Delivered"
"LINE000121,PO00026,MED010,1093,38,41534,Delivered"
"LINE000122,PO00026,MED084,925,39,36075,Delivered"
"LINE000123,PO00026,MED088,862,95,81890,Delivered"
"LINE000124,PO00027,MED011,1357,210,284970,Delivered"
"LINE000125,PO00027,MED019,1465,271,397015,Delivered"
"LINE000126,PO00027,MED073,721,505,364105,Delivered"
"LINE000127,PO00027,MED076,690,345,238050,Delivered"
"LINE000128,PO00027,MED078,622,102,63444,Delivered"
"LINE000129,PO00027,MED095,1209,792,957528,Delivered"
"LINE000130,PO00028,MED012,959,229,219611,Delivered"
"LINE000131,PO00028,MED016,1347,493,664071,Delivered"
"LINE000132,PO00028,MED022,1017,393,399681,Delivered"
"LINE000133,PO00028,MED030,985,731,720035,Delivered"
"LINE000134,PO00028,MED042,1011,164,165804,Delivered"
"LINE000135,PO00028,MED045,1335,196,261660,Delivered"
"LINE000136,PO00028,MED046,920,303,278760,Delivered"
"LINE000137,PO00028,MED058,1458,89,129762,Delivered"
"LINE000138,PO00028,MED079,1189,266,316274,Delivered"
"LINE000139,PO00028,MED093,1411,1286,1814546,Delivered"
"LINE000140,PO00028,MED094,893,1362,1216266,Delivered"
"LINE000141,PO00029,MED013,571,388,221548,Delivered"
"LINE000142,PO00029,MED023,618,101,62418,Delivered"
"LINE000143,PO00029,MED036,1271,393,499503,Delivered"
"LINE000144,PO00029,MED060,690,93,64170,Delivered"
"LINE000145,PO00030,MED014,618,337,208266,Delivered"
"LINE000146,PO00030,MED024,764,332,253648,Delivered"
"LINE000147,PO00030,MED028,580,108,62640,Delivered"
"LINE000148,PO00030,MED032,1274,749,954226,Delivered"
"LINE000149,PO00030,MED056,1072,245,262640,Delivered"
"LINE000150,PO00030,MED059,1078,41,44198,Delivered"
"LINE000151,PO00031,MED015,1408,423,595584,Delivered"
"LINE000152,PO00031,MED020,1359,356,483804,Delivered"
"LINE000153,PO00031,MED038,1052,273,287196,Delivered"
"LINE000154,PO00031,MED049,1249,43,53707,Delivered"
"LINE000155,PO00031,MED052,1389,92,127788,Delivered"
"LINE000156,PO00031,MED072,628,320,200960,Delivered"
"LINE000157,PO00031,MED099,739,478,353242,Delivered"
"LINE000158,PO00032,MED017,886,373,330478,Delivered"
"LINE000159,PO00032,MED025,951,315,299565,Delivered"
"LINE000160,PO00032,MED037,984,84,82656,Delivered"
"LINE000161,PO00032,MED044,622,358,222676,Delivered"
"LINE000162,PO00032,MED071,1214,319,387266,Delivered"
"LINE000163,PO00032,MED077,913,387,353331,Delivered"
"LINE000164,PO00032,MED092,966,847,818202,Delivered"
"LINE000165,PO00033,MED018,648,465,301320,Delivered"
"LINE000166,PO00033,MED021,1409,240,338160,Delivered"
