"TransactionID,TransactionDate,HospitalID,ProductID,BatchNumber,TransactionType,Quantity,ReferenceID,DeliveryStatus"
"REC000001,2025-01-08,H001,MED001,B210268,Receipt,963,PO00001,On Time"
"REC000002,2025-01-08,H001,MED004,B203355,Receipt,905,PO00001,On Time"
"REC000003,2025-01-08,H001,MED065,B542905,Receipt,676,PO00001,On Time"
"REC000004,2025-01-08,H001,MED082,B406063,Receipt,1410,PO00001,On Time"
"REC000005,2025-01-08,H001,MED088,B990123,Receipt,1061,PO00001,On Time"
"REC000006,2025-01-04,H001,MED002,B187498,Receipt,603,PO00002,On Time"
"REC000007,2025-01-04,H001,MED009,B339931,Receipt,1081,PO00002,On Time"
"REC000008,2025-01-04,H001,MED066,B997059,Receipt,1451,PO00002,On Time"
"REC000009,2025-01-05,H001,MED003,B429365,Receipt,997,PO00003,On Time"
"REC000010,2025-01-05,H001,MED005,B358795,Receipt,1192,PO00003,On Time"
"REC000011,2025-01-05,H001,MED010,B877089,Receipt,1510,PO00003,On Time"
"REC000012,2025-01-05,H001,MED085,B472370,Receipt,1288,PO00003,On Time"
"REC000013,2025-01-05,H001,MED089,B251836,Receipt,526,PO00003,On Time"
"REC000014,2025-01-05,H001,MED006,B249503,Receipt,1012,PO00004,On Time"
"REC000015,2025-01-05,H001,MED007,B691723,Receipt,1483,PO00004,On Time"
"REC000016,2025-01-05,H001,MED061,B218015,Receipt,1513,PO00004,On Time"
"REC000017,2025-01-05,H001,MED062,B465890,Receipt,728,PO00004,On Time"
"REC000018,2025-01-05,H001,MED069,B805660,Receipt,1286,PO00004,On Time"
"REC000019,2025-01-05,H001,MED070,B170313,Receipt,1086,PO00004,On Time"
"REC000020,2025-01-05,H001,MED086,B651951,Receipt,790,PO00004,On Time"
"REC000021,2025-01-04,H001,MED008,B665894,Receipt,828,PO00005,On Time"
"REC000022,2025-01-04,H001,MED090,B979090,Receipt,991,PO00005,On Time"
"REC000023,2025-01-25,H001,MED011,B996942,Receipt,1212,PO00006,On Time"
"REC000024,2025-01-25,H001,MED020,B234633,Receipt,934,PO00006,On Time"
"REC000025,2025-01-25,H001,MED033,B890180,Receipt,556,PO00006,On Time"
"REC000026,2025-01-25,H001,MED038,B937291,Receipt,719,PO00006,On Time"
