"Date,Year,Quarter,Month,MonthName,Week,Weekday,Season"
"2025-01-01,2025,1,1,January,1,Wednesday,Winter"
"2025-01-02,2025,1,1,January,1,Thursday,Winter"
"2025-01-03,2025,1,1,January,1,Friday,Winter"
"2025-01-04,2025,1,1,January,1,Saturday,Winter"
"2025-01-05,2025,1,1,January,1,Sunday,Winter"
"2025-01-06,2025,1,1,January,2,Monday,Winter"
"2025-01-07,2025,1,1,January,2,Tuesday,Winter"
"2025-01-08,2025,1,1,January,2,Wednesday,Winter"
"2025-01-09,2025,1,1,January,2,Thursday,Winter"
"2025-01-10,2025,1,1,January,2,Friday,Winter"
"2025-01-11,2025,1,1,January,2,Saturday,Winter"
"2025-01-12,2025,1,1,January,2,Sunday,Winter"
"2025-01-13,2025,1,1,January,3,Monday,Winter"
"2025-01-14,2025,1,1,January,3,Tuesday,Winter"
"2025-01-15,2025,1,1,January,3,Wednesday,Winter"
"2025-01-16,2025,1,1,January,3,Thursday,Winter"
"2025-01-17,2025,1,1,January,3,Friday,Winter"
"2025-01-18,2025,1,1,January,3,Saturday,Winter"
"2025-01-19,2025,1,1,January,3,Sunday,Winter"
"2025-01-20,2025,1,1,January,4,Monday,Winter"
"2025-01-21,2025,1,1,January,4,Tuesday,Winter"
"2025-01-22,2025,1,1,January,4,Wednesday,Winter"
"2025-01-23,2025,1,1,January,4,Thursday,Winter"
"2025-01-24,2025,1,1,January,4,Friday,Winter"
"2025-01-25,2025,1,1,January,4,Saturday,Winter"
"2025-01-26,2025,1,1,January,4,Sunday,Winter"
"2025-01-27,2025,1,1,January,5,Monday,Winter"
"2025-01-28,2025,1,1,January,5,Tuesday,Winter"
"2025-01-29,2025,1,1,January,5,Wednesday,Winter"
"2025-01-30,2025,1,1,January,5,Thursday,Winter"
"2025-01-31,2025,1,1,January,5,Friday,Winter"
"2025-02-01,2025,1,2,February,5,Saturday,Winter"
"2025-02-02,2025,1,2,February,5,Sunday,Winter"
"2025-02-03,2025,1,2,February,6,Monday,Winter"
"2025-02-04,2025,1,2,February,6,Tuesday,Winter"
"2025-02-05,2025,1,2,February,6,Wednesday,Winter"
"2025-02-06,2025,1,2,February,6,Thursday,Winter"
"2025-02-07,2025,1,2,February,6,Friday,Winter"
"2025-02-08,2025,1,2,February,6,Saturday,Winter"
"2025-02-09,2025,1,2,February,6,Sunday,Winter"
"2025-02-10,2025,1,2,February,7,Monday,Winter"
"2025-02-11,2025,1,2,February,7,Tuesday,Winter"
"2025-02-12,2025,1,2,February,7,Wednesday,Winter"
"2025-02-13,2025,1,2,February,7,Thursday,Winter"
"2025-02-14,2025,1,2,February,7,Friday,Winter"
"2025-02-15,2025,1,2,February,7,Saturday,Winter"
"2025-02-16,2025,1,2,February,7,Sunday,Winter"
"2025-02-17,2025,1,2,February,8,Monday,Winter"
"2025-02-18,2025,1,2,February,8,Tuesday,Winter"
"2025-02-19,2025,1,2,February,8,Wednesday,Winter"
"2025-02-20,2025,1,2,February,8,Thursday,Winter"
"2025-02-21,2025,1,2,February,8,Friday,Winter"
"2025-02-22,2025,1,2,February,8,Saturday,Winter"
"2025-02-23,2025,1,2,February,8,Sunday,Winter"
"2025-02-24,2025,1,2,February,9,Monday,Winter"
"2025-02-25,2025,1,2,February,9,Tuesday,Winter"
"2025-02-26,2025,1,2,February,9,Wednesday,Winter"
"2025-02-27,2025,1,2,February,9,Thursday,Winter"
"2025-02-28,2025,1,2,February,9,Friday,Winter"
"2025-03-01,2025,1,3,March,9,Saturday,Spring"
"2025-03-02,2025,1,3,March,9,Sunday,Spring"
"2025-03-03,2025,1,3,March,10,Monday,Spring"
"2025-03-04,2025,1,3,March,10,Tuesday,Spring"
"2025-03-05,2025,1,3,March,10,Wednesday,Spring"
"2025-03-06,2025,1,3,March,10,Thursday,Spring"
"2025-03-07,2025,1,3,March,10,Friday,Spring"
"2025-03-08,2025,1,3,March,10,Saturday,Spring"
"2025-03-09,2025,1,3,March,10,Sunday,Spring"
"2025-03-10,2025,1,3,March,11,Monday,Spring"
"2025-03-11,2025,1,3,March,11,Tuesday,Spring"
"2025-03-12,2025,1,3,March,11,Wednesday,Spring"
"2025-03-13,2025,1,3,March,11,Thursday,Spring"
"2025-03-14,2025,1,3,March,11,Friday,Spring"
"2025-03-15,2025,1,3,March,11,Saturday,Spring"
"2025-03-16,2025,1,3,March,11,Sunday,Spring"
"2025-03-17,2025,1,3,March,12,Monday,Spring"
"2025-03-18,2025,1,3,March,12,Tuesday,Spring"
"2025-03-19,2025,1,3,March,12,Wednesday,Spring"
"2025-03-20,2025,1,3,March,12,Thursday,Spring"
"2025-03-21,2025,1,3,March,12,Friday,Spring"
"2025-03-22,2025,1,3,March,12,Saturday,Spring"
"2025-03-23,2025,1,3,March,12,Sunday,Spring"
"2025-03-24,2025,1,3,March,13,Monday,Spring"
"2025-03-25,2025,1,3,March,13,Tuesday,Spring"
"2025-03-26,2025,1,3,March,13,Wednesday,Spring"
"2025-03-27,2025,1,3,March,13,Thursday,Spring"
"2025-03-28,2025,1,3,March,13,Friday,Spring"
"2025-03-29,2025,1,3,March,13,Saturday,Spring"
"2025-03-30,2025,1,3,March,13,Sunday,Spring"
"2025-03-31,2025,1,3,March,14,Monday,Spring"
"2025-04-01,2025,2,4,April,14,Tuesday,Spring"
"2025-04-02,2025,2,4,April,14,Wednesday,Spring"
"2025-04-03,2025,2,4,April,14,Thursday,Spring"
"2025-04-04,2025,2,4,April,14,Friday,Spring"
"2025-04-05,2025,2,4,April,14,Saturday,Spring"
"2025-04-06,2025,2,4,April,14,Sunday,Spring"
"2025-04-07,2025,2,4,April,15,Monday,Spring"
"2025-04-08,2025,2,4,April,15,Tuesday,Spring"
"2025-04-09,2025,2,4,April,15,Wednesday,Spring"
"2025-04-10,2025,2,4,April,15,Thursday,Spring"
"2025-04-11,2025,2,4,April,15,Friday,Spring"
"2025-04-12,2025,2,4,April,15,Saturday,Spring"
"2025-04-13,2025,2,4,April,15,Sunday,Spring"
"2025-04-14,2025,2,4,April,16,Monday,Spring"
"2025-04-15,2025,2,4,April,16,Tuesday,Spring"
"2025-04-16,2025,2,4,April,16,Wednesday,Spring"
"2025-04-17,2025,2,4,April,16,Thursday,Spring"
"2025-04-18,2025,2,4,April,16,Friday,Spring"
"2025-04-19,2025,2,4,April,16,Saturday,Spring"
"2025-04-20,2025,2,4,April,16,Sunday,Spring"
"2025-04-21,2025,2,4,April,17,Monday,Spring"
"2025-04-22,2025,2,4,April,17,Tuesday,Spring"
"2025-04-23,2025,2,4,April,17,Wednesday,Spring"
"2025-04-24,2025,2,4,April,17,Thursday,Spring"
"2025-04-25,2025,2,4,April,17,Friday,Spring"
"2025-04-26,2025,2,4,April,17,Saturday,Spring"
"2025-04-27,2025,2,4,April,17,Sunday,Spring"
"2025-04-28,2025,2,4,April,18,Monday,Spring"
"2025-04-29,2025,2,4,April,18,Tuesday,Spring"
"2025-04-30,2025,2,4,April,18,Wednesday,Spring"
"2025-05-01,2025,2,5,May,18,Thursday,Spring"
"2025-05-02,2025,2,5,May,18,Friday,Spring"
"2025-05-03,2025,2,5,May,18,Saturday,Spring"
"2025-05-04,2025,2,5,May,18,Sunday,Spring"
"2025-05-05,2025,2,5,May,19,Monday,Spring"
"2025-05-06,2025,2,5,May,19,Tuesday,Spring"
"2025-05-07,2025,2,5,May,19,Wednesday,Spring"
"2025-05-08,2025,2,5,May,19,Thursday,Spring"
"2025-05-09,2025,2,5,May,19,Friday,Spring"
"2025-05-10,2025,2,5,May,19,Saturday,Spring"
"2025-05-11,2025,2,5,May,19,Sunday,Spring"
"2025-05-12,2025,2,5,May,20,Monday,Spring"
"2025-05-13,2025,2,5,May,20,Tuesday,Spring"
"2025-05-14,2025,2,5,May,20,Wednesday,Spring"
"2025-05-15,2025,2,5,May,20,Thursday,Spring"
"2025-05-16,2025,2,5,May,20,Friday,Spring"
"2025-05-17,2025,2,5,May,20,Saturday,Spring"
"2025-05-18,2025,2,5,May,20,Sunday,Spring"
"2025-05-19,2025,2,5,May,21,Monday,Spring"
