"ConsumptionID,Date,HospitalID,ProductID,QuantityConsumed"
"CON000001,2025-01-01,H001,MED001,28"
"CON000002,2025-01-01,H001,MED002,32"
"CON000003,2025-01-01,H001,MED003,31"
"CON000004,2025-01-01,H001,MED004,33"
"CON000005,2025-01-01,H001,MED005,31"
"CON000006,2025-01-01,H001,MED006,21"
"CON000007,2025-01-01,H001,MED007,28"
"CON000008,2025-01-01,H001,MED008,15"
"CON000009,2025-01-01,H001,MED009,21"
"CON000010,2025-01-01,H001,MED010,35"
"CON000011,2025-01-01,H001,MED011,26"
"CON000012,2025-01-01,H001,MED012,30"
"CON000013,2025-01-01,H001,MED013,31"
"CON000014,2025-01-01,H001,MED014,23"
"CON000015,2025-01-01,H001,MED015,23"
"CON000016,2025-01-01,H001,MED016,27"
"CON000017,2025-01-01,H001,MED017,28"
"CON000018,2025-01-01,H001,MED018,15"
"CON000019,2025-01-01,H001,MED019,26"
"CON000020,2025-01-01,H001,MED020,33"
"CON000021,2025-01-01,H001,MED021,2"
"CON000022,2025-01-01,H001,MED022,3"
"CON000023,2025-01-01,H001,MED023,1"
"CON000024,2025-01-01,H001,MED024,32"
"CON000025,2025-01-01,H001,MED025,3"
"CON000026,2025-01-01,H001,MED026,6"
"CON000027,2025-01-01,H001,MED027,10"
"CON000028,2025-01-01,H001,MED028,14"
"CON000029,2025-01-01,H001,MED029,14"
"CON000030,2025-01-01,H001,MED030,14"
"CON000031,2025-01-01,H001,MED031,10"
"CON000032,2025-01-01,H001,MED032,13"
"CON000033,2025-01-01,H001,MED033,9"
"CON000034,2025-01-01,H001,MED034,15"
"CON000035,2025-01-01,H001,MED035,14"
"CON000036,2025-01-01,H001,MED036,12"
"CON000037,2025-01-01,H001,MED037,8"
"CON000038,2025-01-01,H001,MED038,13"
"CON000039,2025-01-01,H001,MED039,5"
"CON000040,2025-01-01,H001,MED040,14"
"CON000041,2025-01-01,H001,MED041,6"
"CON000042,2025-01-01,H001,MED042,10"
"CON000043,2025-01-01,H001,MED043,15"
"CON000044,2025-01-01,H001,MED044,8"
"CON000045,2025-01-01,H001,MED045,10"
"CON000046,2025-01-01,H001,MED046,14"
"CON000047,2025-01-01,H001,MED047,15"
"CON000048,2025-01-01,H001,MED048,10"
"CON000049,2025-01-01,H001,MED049,6"
"CON000050,2025-01-01,H001,MED050,7"
"CON000051,2025-01-01,H001,MED051,5"
"CON000052,2025-01-01,H001,MED052,12"
"CON000053,2025-01-01,H001,MED053,11"
"CON000054,2025-01-01,H001,MED054,6"
"CON000055,2025-01-01,H001,MED055,11"
"CON000056,2025-01-01,H001,MED056,12"
"CON000057,2025-01-01,H001,MED057,13"
"CON000058,2025-01-01,H001,MED058,9"
"CON000059,2025-01-01,H001,MED059,14"
"CON000060,2025-01-01,H001,MED060,7"
"CON000061,2025-01-01,H001,MED061,32"
"CON000062,2025-01-01,H001,MED062,28"
"CON000063,2025-01-01,H001,MED063,27"
"CON000064,2025-01-01,H001,MED064,16"
"CON000065,2025-01-01,H001,MED065,29"
"CON000066,2025-01-01,H001,MED066,23"
"CON000067,2025-01-01,H001,MED067,20"
"CON000068,2025-01-01,H001,MED068,31"
"CON000069,2025-01-01,H001,MED069,23"
"CON000070,2025-01-01,H001,MED070,15"
"CON000071,2025-01-01,H001,MED071,2"
"CON000072,2025-01-01,H001,MED072,5"
"CON000073,2025-01-01,H001,MED073,4"
"CON000074,2025-01-01,H001,MED074,3"
"CON000075,2025-01-01,H001,MED075,4"
"CON000076,2025-01-01,H001,MED076,2"
